state0_sensors,state0_camera_c,action,time
"{'right': False, 'center': False, 'left': False}",images/img31.jpg,0,2018-03-08 11:54:07.956720
"{'right': False, 'center': False, 'left': False}",images/img32.jpg,2,2018-03-08 11:54:12.791891
"{'right': False, 'center': False, 'left': False}",images/img33.jpg,2,2018-03-08 11:54:17.188672
"{'right': False, 'center': True, 'left': False}",images/img34.jpg,1,2018-03-08 11:54:22.170833
"{'right': False, 'center': False, 'left': False}",images/img35.jpg,1,2018-03-08 11:54:28.320925
"{'right': False, 'center': False, 'left': False}",images/img36.jpg,1,2018-03-08 11:54:34.706006
"{'right': False, 'center': False, 'left': False}",images/img37.jpg,0,2018-03-08 11:54:42.118426
"{'right': False, 'center': False, 'left': False}",images/img38.jpg,2,2018-03-08 11:54:49.472444
"{'right': False, 'center': False, 'left': False}",images/img39.jpg,2,2018-03-08 11:54:53.145506
"{'right': False, 'center': False, 'left': False}",images/img40.jpg,0,2018-03-08 11:54:55.934238
"{'right': False, 'center': False, 'left': False}",images/img41.jpg,2,2018-03-08 11:54:59.179407
"{'right': False, 'center': True, 'left': False}",images/img42.jpg,2,2018-03-08 11:55:04.085647
"{'right': False, 'center': True, 'left': False}",images/img43.jpg,0,2018-03-08 11:55:09.128112
"{'right': False, 'center': True, 'left': False}",images/img44.jpg,2,2018-03-08 11:55:12.242583
"{'right': False, 'center': False, 'left': False}",images/img45.jpg,2,2018-03-08 11:55:15.328641
"{'right': False, 'center': False, 'left': False}",images/img46.jpg,0,2018-03-08 11:55:19.589886
"{'right': False, 'center': False, 'left': False}",images/img47.jpg,0,2018-03-08 11:55:23.211978
"{'right': False, 'center': False, 'left': False}",images/img48.jpg,0,2018-03-08 11:55:25.507861
"{'right': False, 'center': False, 'left': False}",images/img49.jpg,2,2018-03-08 11:55:32.541951
"{'right': False, 'center': False, 'left': False}",images/img50.jpg,2,2018-03-08 11:55:34.731197
"{'right': False, 'center': False, 'left': False}",images/img51.jpg,2,2018-03-08 11:55:37.054023
"{'right': False, 'center': True, 'left': False}",images/img52.jpg,2,2018-03-08 11:55:39.958361
"{'right': False, 'center': True, 'left': False}",images/img53.jpg,2,2018-03-08 11:55:43.167755
"{'right': False, 'center': False, 'left': False}",images/img54.jpg,2,2018-03-08 11:55:46.753918
"{'right': False, 'center': True, 'left': False}",images/img55.jpg,2,2018-03-08 11:55:49.350250
"{'right': False, 'center': False, 'left': False}",images/img56.jpg,2,2018-03-08 11:55:52.122752
"{'right': False, 'center': False, 'left': False}",images/img57.jpg,0,2018-03-08 11:55:59.193449
"{'right': False, 'center': False, 'left': False}",images/img58.jpg,0,2018-03-08 11:56:04.153913
"{'right': False, 'center': False, 'left': False}",images/img59.jpg,0,2018-03-08 11:56:16.577768
"{'right': False, 'center': False, 'left': False}",images/img60.jpg,0,2018-03-08 11:56:20.943671
"{'right': False, 'center': False, 'left': False}",images/img61.jpg,1,2018-03-08 11:56:25.746396
"{'right': False, 'center': False, 'left': False}",images/img62.jpg,1,2018-03-08 11:56:29.755490
"{'right': False, 'center': False, 'left': False}",images/img63.jpg,1,2018-03-08 11:56:33.923739
"{'right': False, 'center': False, 'left': False}",images/img64.jpg,0,2018-03-08 11:56:36.897576
"{'right': False, 'center': False, 'left': False}",images/img65.jpg,1,2018-03-08 11:56:52.173514
"{'right': False, 'center': False, 'left': False}",images/img66.jpg,0,2018-03-08 11:56:55.780980
"{'right': False, 'center': False, 'left': False}",images/img67.jpg,1,2018-03-08 11:56:59.253873
"{'right': False, 'center': False, 'left': False}",images/img68.jpg,1,2018-03-08 11:57:01.883073
"{'right': False, 'center': False, 'left': False}",images/img69.jpg,1,2018-03-08 11:57:06.903013
"{'right': False, 'center': False, 'left': False}",images/img70.jpg,0,2018-03-08 11:57:11.052306
"{'right': False, 'center': False, 'left': False}",images/img71.jpg,1,2018-03-08 11:57:26.975115
"{'right': False, 'center': False, 'left': False}",images/img72.jpg,1,2018-03-08 11:57:31.229074
"{'right': False, 'center': False, 'left': False}",images/img73.jpg,1,2018-03-08 11:57:36.025046
"{'right': False, 'center': False, 'left': False}",images/img74.jpg,0,2018-03-08 11:57:39.442997
"{'right': False, 'center': False, 'left': False}",images/img75.jpg,0,2018-03-08 11:57:46.592530
"{'right': False, 'center': True, 'left': False}",images/img76.jpg,0,2018-03-08 11:57:54.480583
"{'right': True, 'center': False, 'left': False}",images/img77.jpg,0,2018-03-08 11:58:02.461522
"{'right': False, 'center': False, 'left': False}",images/img78.jpg,1,2018-03-08 11:58:14.922321
"{'right': False, 'center': False, 'left': False}",images/img79.jpg,1,2018-03-08 11:58:17.568272
"{'right': False, 'center': False, 'left': False}",images/img80.jpg,0,2018-03-08 11:58:23.996538
"{'right': False, 'center': False, 'left': False}",images/img81.jpg,1,2018-03-08 11:58:27.795160
"{'right': False, 'center': False, 'left': False}",images/img82.jpg,0,2018-03-08 11:58:30.967135
"{'right': False, 'center': False, 'left': False}",images/img83.jpg,1,2018-03-08 11:58:35.490908
"{'right': False, 'center': False, 'left': False}",images/img84.jpg,2,2018-03-08 11:58:40.544497
"{'right': False, 'center': True, 'left': False}",images/img85.jpg,2,2018-03-08 11:58:45.363285
"{'right': False, 'center': True, 'left': False}",images/img86.jpg,0,2018-03-08 11:58:48.774921
"{'right': False, 'center': False, 'left': False}",images/img87.jpg,1,2018-03-08 11:58:56.693034
"{'right': False, 'center': True, 'left': False}",images/img88.jpg,0,2018-03-08 11:58:59.694191
"{'right': False, 'center': False, 'left': False}",images/img89.jpg,1,2018-03-08 11:59:02.388669
"{'right': False, 'center': False, 'left': False}",images/img90.jpg,0,2018-03-08 11:59:08.881369
"{'right': False, 'center': False, 'left': False}",images/img91.jpg,1,2018-03-08 11:59:13.643657
"{'right': False, 'center': False, 'left': False}",images/img92.jpg,0,2018-03-08 11:59:20.432552
"{'right': False, 'center': False, 'left': False}",images/img93.jpg,1,2018-03-08 11:59:22.219391
"{'right': False, 'center': False, 'left': False}",images/img94.jpg,0,2018-03-08 11:59:26.152705
"{'right': False, 'center': False, 'left': False}",images/img95.jpg,1,2018-03-08 11:59:29.717637
"{'right': False, 'center': False, 'left': False}",images/img96.jpg,1,2018-03-08 11:59:32.940809
"{'right': False, 'center': False, 'left': False}",images/img97.jpg,1,2018-03-08 11:59:42.007529
"{'right': False, 'center': False, 'left': False}",images/img98.jpg,1,2018-03-08 11:59:46.660209
"{'right': False, 'center': False, 'left': False}",images/img99.jpg,1,2018-03-08 11:59:52.303264
"{'right': False, 'center': False, 'left': False}",images/img100.jpg,2,2018-03-08 11:59:59.943233
"{'right': False, 'center': False, 'left': False}",images/img101.jpg,2,2018-03-08 12:00:08.984689
"{'right': False, 'center': False, 'left': False}",images/img102.jpg,0,2018-03-08 12:00:12.962082
"{'right': False, 'center': False, 'left': False}",images/img103.jpg,0,2018-03-08 12:00:15.273409
"{'right': False, 'center': False, 'left': False}",images/img104.jpg,0,2018-03-08 12:00:17.518484
"{'right': False, 'center': False, 'left': False}",images/img105.jpg,0,2018-03-08 12:00:20.476832
"{'right': False, 'center': False, 'left': False}",images/img106.jpg,0,2018-03-08 12:00:25.065425
"{'right': False, 'center': False, 'left': False}",images/img107.jpg,1,2018-03-08 12:00:28.264200
"{'right': False, 'center': False, 'left': False}",images/img108.jpg,1,2018-03-08 12:00:30.198468
"{'right': False, 'center': False, 'left': False}",images/img109.jpg,1,2018-03-08 12:00:38.429971
"{'right': False, 'center': False, 'left': False}",images/img110.jpg,0,2018-03-08 12:00:42.183374
"{'right': False, 'center': False, 'left': False}",images/img111.jpg,0,2018-03-08 12:00:56.301555
"{'right': False, 'center': False, 'left': False}",images/img112.jpg,0,2018-03-08 12:01:31.883346
"{'right': False, 'center': False, 'left': False}",images/img113.jpg,0,2018-03-08 12:01:35.159808
"{'right': False, 'center': False, 'left': False}",images/img114.jpg,1,2018-03-08 12:01:42.702059
"{'right': False, 'center': False, 'left': False}",images/img115.jpg,1,2018-03-08 12:01:54.565235
"{'right': False, 'center': False, 'left': False}",images/img116.jpg,0,2018-03-08 12:02:09.679280
"{'right': False, 'center': False, 'left': False}",images/img117.jpg,0,2018-03-08 12:02:17.839837
"{'right': False, 'center': False, 'left': False}",images/img118.jpg,2,2018-03-08 12:02:24.770920
"{'right': False, 'center': False, 'left': False}",images/img119.jpg,2,2018-03-08 12:02:39.958201
"{'right': False, 'center': False, 'left': False}",images/img120.jpg,2,2018-03-08 12:02:52.420514
"{'right': False, 'center': False, 'left': False}",images/img121.jpg,2,2018-03-08 12:02:58.300930
"{'right': False, 'center': False, 'left': False}",images/img122.jpg,2,2018-03-08 12:03:04.760505
"{'right': False, 'center': False, 'left': False}",images/img123.jpg,2,2018-03-08 12:03:09.224377
"{'right': False, 'center': False, 'left': False}",images/img124.jpg,2,2018-03-08 12:03:14.439058
"{'right': False, 'center': False, 'left': False}",images/img125.jpg,2,2018-03-08 12:03:18.089899
"{'right': False, 'center': False, 'left': False}",images/img126.jpg,0,2018-03-08 12:03:21.419723
"{'right': False, 'center': False, 'left': False}",images/img127.jpg,2,2018-03-08 12:03:25.343581
"{'right': False, 'center': False, 'left': False}",images/img128.jpg,0,2018-03-08 12:03:31.608781
"{'right': False, 'center': False, 'left': False}",images/img129.jpg,2,2018-03-08 12:03:37.634961
"{'right': False, 'center': False, 'left': False}",images/img130.jpg,0,2018-03-08 12:03:40.623693
"{'right': False, 'center': False, 'left': False}",images/img131.jpg,0,2018-03-08 12:03:52.564528
"{'right': False, 'center': False, 'left': False}",images/img132.jpg,2,2018-03-08 12:03:56.047141
"{'right': False, 'center': False, 'left': False}",images/img133.jpg,2,2018-03-08 12:04:04.851815
"{'right': False, 'center': False, 'left': False}",images/img134.jpg,2,2018-03-08 12:04:11.906071
"{'right': False, 'center': False, 'left': False}",images/img135.jpg,2,2018-03-08 12:04:16.156731
"{'right': False, 'center': False, 'left': False}",images/img136.jpg,2,2018-03-08 12:04:19.520157
"{'right': False, 'center': False, 'left': False}",images/img137.jpg,2,2018-03-08 12:04:23.125094
"{'right': False, 'center': False, 'left': False}",images/img138.jpg,2,2018-03-08 12:04:27.104572
"{'right': False, 'center': False, 'left': False}",images/img139.jpg,0,2018-03-08 12:04:38.194939
